"year","pct","ser_num","datestop","timestop","city","sex","race","age"
2012,44,711,20120112,1505,3,1,1,17
2012,32,1753,20120208,1330,1,1,1,53
2012,44,3020,20120214,1635,3,1,1,22
2012,32,2063,20120217,230,1,1,1,40
2012,44,5339,20120217,2105,3,1,1,57
2012,67,2744,20120218,1910,2,1,1,31
2012,48,1471,20120228,2100,3,1,1,23
2012,32,2977,20120303,1900,1,1,1,27
2012,75,11736,20120303,2020,2,1,1,33
2012,23,2911,20120308,1950,1,1,1,21
2012,103,4411,20120319,1530,4,1,3,27
2012,61,1,20120101,16,2,1,1,26
2012,48,127,20120101,30,3,1,3,55
2012,48,138,20120101,31,3,1,2,18
2012,103,29,20120101,40,4,0,1,16
2012,40,338,20120101,105,3,1,1,21
2012,103,16,20120101,115,4,1,1,17
2012,71,47,20120101,120,2,1,1,21
2012,69,1,20120101,125,2,1,1,23
2012,70,3,20120101,125,2,1,1,16
2012,81,12,20120101,137,2,1,1,21
2012,105,17,20120101,150,4,1,1,42
2012,90,3,20120101,156,2,1,4,23
2012,23,695,20120101,200,1,1,1,16
2012,33,23,20120101,204,1,1,1,31
2012,7,2,20120101,205,1,1,1,31
2012,78,2,20120101,244,2,1,1,18
2012,40,5,20120101,307,3,1,3,29
2012,110,5,20120101,315,4,1,3,30
2012,83,11,20120101,320,2,0,1,40
2012,101,6,20120101,330,4,1,1,42
2012,23,263,20120101,335,1,1,1,18
2012,41,14,20120101,400,3,0,3,15
2012,7,9,20120101,410,1,1,4,35
2012,62,54,20120101,410,2,1,4,24
2012,104,20,20120101,430,4,1,4,21
2012,113,6,20120101,440,4,1,1,22
2012,108,2,20120101,1428,4,1,2,43
2012,33,74,20120101,1640,1,1,2,16
2012,73,117,20120101,1705,2,1,1,24
2012,23,29,20120101,1720,1,1,1,14
2012,102,774,20120101,1910,4,1,3,58
2012,45,6,20120101,1913,3,0,3,46
2012,120,1,20120101,1930,5,1,3,21
2012,23,4,20120101,2022,1,1,5,29
2012,26,37,20120101,2030,1,1,3,28
2012,120,155,20120101,2130,5,1,3,22
2012,103,44,20120101,2227,4,1,1,27
2012,40,79,20120101,2230,3,1,1,19
2012,23,1169,20120101,2245,1,1,3,23
2012,100,3,20120101,2310,4,1,4,51
2012,72,50,20120102,10,2,1,3,18
2012,75,9,20120102,35,2,1,1,30
2012,28,18,20120102,54,1,1,1,18
2012,66,18,20120102,135,2,1,4,23
2012,114,71,20120102,155,4,1,4,39
2012,48,165,20120102,240,3,1,1,34
2012,26,119,20120102,300,1,0,3,23
2012,62,56,20120102,400,2,1,4,25
2012,115,26,20120102,408,4,1,3,47
2012,14,473,20120102,730,1,0,3,23
2012,77,22,20120102,910,2,1,4,27
2012,24,9,20120102,920,1,1,1,66
2012,79,41,20120102,1043,2,1,1,56
2012,120,26,20120102,1058,5,1,2,22
2012,114,1644,20120102,1115,4,1,3,18
2012,120,25,20120102,1127,5,1,1,24
2012,61,17,20120102,1130,2,1,4,39
