"country","loggdp","islam","me","femlabor","oil"
"""Angola""",-0.5810029,-0.7233714,0,0.95411825,-0.12973142
"""Albania""",-0.33624765,0.34729302,0,0.48247743,-0.23585133
"""United Arab Emirates""",1.5611377,1.4774002,1,-2.965037,3.780705
"""Argentina""",0.8948356,-0.6728667,0,-0.3032587,-0.16909543
"""Armenia""",-0.7226772,-0.62134236,0,1.1837277,-0.24607633
"""Australia""",1.4883796,-0.69059104,0,0.5543473,-0.13415171
"""Austria""",1.5808789,-0.6688749,0,0.21429142,-0.234154
"""Azerbaijan""",-0.65474445,1.6093457,0,-1.0477695,-0.0966298
"""Burundi""",-1.7391311,-0.68640405,0,1.1911738,-0.24607633
"""Belgium""",1.5380802,-0.62661415,0,0.39513427,-0.24607472
"""Benin""",-1.0193201,-0.18224676,0,1.1242524,-0.24567167
"""Burkina Faso""",-1.2811562,0.62326807,0,1.1417075,-0.24607633
"""Bangladesh""",-1.057118,1.7092271,0,-2.3407974,-0.24429294
"""Bulgaria""",-0.0854821,-0.39376763,0,1.1073085,-0.24562922
"""Bahrain""",1.1779416,1.6200845,1,-2.8392258,1.1137763
"""Bahamas""",1.331942,-0.7233714,0,0.91514266,-0.24607633
"""Bosnia and Herzegovina""",-0.37293458,0.68822134,0,0.2176955,-0.1672146
"""Belarus""",-0.32657948,-0.7170149,0,1.1973886,-0.22814155
"""Belize""",0.3511984,-0.7077947,0,-1.2307849,-0.24607633
"""Bolivia""",-0.36657,-0.7228073,0,0.09401634,-0.2222951
"""Brazil""",0.4129012,-0.7205511,0,-0.67798173,-0.21487598
"""Barbados""",1.00419,-0.70510465,0,0.7910963,-0.23152657
"""Brunei Darussalam""",1.4407239,0.94152564,0,-0.08705686,4.5036645
"""Botswana""",0.3108578,-0.71762234,0,0.33724177,-0.24607633
"""Canada""",1.5552094,-0.69607973,0,0.7892609,0.3163219
"""Switzerland""",1.8212652,-0.6544915,0,0.27047294,-0.24607512
"""Chile""",0.6027495,-0.7225253,0,-0.39319727,-0.24146341
