"cname" "UN" "ldur" "lwdeaths" "lwdurat" "ethfrac" "pop" "continent"
"1" "Haiti" 0 2.39789533615112 0 9 1.35912299156189 8.77539539337158 "lamerica"
"2" "Haiti" 1 4.96284484863281 5.52146100997925 12 1.35912299156189 8.81314086914062 "lamerica"
"3" "Trinidad and Tobago" 0 5.06890439987183 3.40119743347168 1 55.8431510925293 7.10249948501587 "lamerica"
"4" "Mexico" 0 3.40119743347168 4.97673368453979 1 30.5108184814453 11.4019937515259 "lamerica"
"5" "Mexico" 0 4.4188404083252 0 4 30.5108184814453 11.4499855041504 "lamerica"
"6" "Guatemala" 1 4.55387687683105 5.70378255844116 12 64.3684158325195 9.23014259338379 "lamerica"
"7" "El Salvador" 1 4.96284484863281 10.9150886535645 156 16.5918712615967 8.57734680175781 "lamerica"
"8" "Nicaragua" 1 5.11799383163452 10.308952331543 97 17.9328689575195 8.24905204772949 "lamerica"
"9" "Panama" 0 5.12989854812622 4.31748819351196 1 26.0851554870605 7.76217079162598 "lamerica"
"10" "Venezuela" 0 4.88280200958252 5.20948600769043 10 10.7347011566162 9.92329025268555 "lamerica"
"11" "Peru" 0 3.85014748573303 10.3375072479248 240 58.9686508178711 10.161997795105 "lamerica"
"12" "Paraguay" 0 5.17614984512329 5.29831743240356 1 14.4922370910645 8.30375194549561 "lamerica"
"13" "Macedonia" 0 3.29583692550659 4.97673368453979 4 50.9563522338867 7.61825132369995 "eeurop"
"14" "Croatia" 1 2.39789533615112 5.29831743240356 24 33.4221000671387 8.47156810760498 "eeurop"
"15" "Croatia" 1 4.55387687683105 6.62007331848145 12 33.4221000671387 8.41847705841064 "eeurop"
"16" "Serbia and Montenegro" 0 4.27666616439819 9.11745738983154 7 75.3812408447266 9.25913047790527 "eeurop"
"17" "Serbia and Montenegro" 1 3.97029185295105 8.41183280944824 17 75.3812408447266 9.26860904693604 "eeurop"
"18" "Bosnia and Herzegovina" 1 4.55387687683105 10.9150886535645 44 69.7153244018555 8.1713171005249 "eeurop"
"19" "Moldova" 0 4.91265487670898 6.47697257995605 5 55.1569519042969 8.37816143035889 "eeurop"
"20" "Romania" 0 5.11799383163452 6.81234502792358 1 25.2163047790527 10.0519075393677 "eeurop"
"21" "Russia" 0 2.4849066734314 5.26269006729126 1 66.6593017578125 11.9117012023926 "eeurop"
"22" "Russia" 0 3.13549423217773 10.729700088501 25 66.6593017578125 11.8981876373291 "eeurop"
"23" "Georgia" 0 1.0986123085022 7.66902828216553 2 49.5510025024414 8.60098266601562 "eeurop"
"24" "Georgia" 1 4.77912330627441 8.34045600891113 17 49.5510025024414 8.59007167816162 "eeurop"
"25" "Azerbaijan" 0 1.7917594909668 9.86578559875488 31 30.3524131774902 8.93550872802734 "eeurop"
