"mailgrp" "appeal" "ward" "voted98" "mailings"
"1" 1 1 24 1 3
"4" 1 3 18 0 3
"5" 1 2 6 0 3
"6" 1 2 25 1 2
"7" 1 2 7 1 2
"8" 1 1 15 0 3
"9" 1 2 18 1 1
"11" 1 2 7 0 1
"12" 1 2 2 0 2
"13" 1 3 27 0 1
"14" 1 3 3 0 2
"16" 1 3 13 1 2
"18" 1 3 25 0 3
"20" 1 3 2 0 1
"21" 1 3 21 1 1
"22" 1 3 27 0 1
"23" 1 1 19 0 3
"24" 1 2 19 0 3
"27" 1 1 18 1 1
"28" 1 1 26 1 1
"29" 1 2 25 0 1
"32" 1 3 24 0 1
"34" 1 3 10 0 1
"36" 1 3 15 0 1
"37" 1 3 12 1 1
"38" 1 1 27 0 2
"39" 1 1 12 1 3
"40" 1 2 29 0 1
"41" 1 3 27 1 1
"43" 1 3 18 0 3
"44" 1 3 26 1 3
"45" 1 1 17 1 1
"46" 1 3 14 0 2
"47" 1 2 18 1 2
"49" 1 1 19 1 2
"50" 1 1 24 1 1
"51" 1 3 11 0 1
"52" 1 2 20 1 3
"53" 1 3 18 0 3
"54" 1 3 11 1 3
"55" 1 2 26 0 1
"56" 1 1 24 0 1
"57" 1 3 22 1 3
"58" 1 1 23 0 3
"59" 1 1 26 0 1
"60" 1 2 13 0 1
"62" 1 3 14 1 3
"63" 1 2 14 1 2
"64" 1 3 9 1 1
"65" 1 2 9 0 3
"66" 1 3 25 1 3
"67" 1 2 11 0 1
"68" 1 1 26 1 3
"70" 1 2 18 0 3
"71" 1 1 5 1 3
"73" 1 2 19 1 2
"74" 1 3 27 1 2
"75" 1 3 20 1 2
"76" 1 3 19 1 1
"77" 1 3 21 1 3
"78" 1 3 8 1 1
"79" 1 3 8 0 2
"81" 1 3 21 0 2
"82" 1 1 3 0 3
"83" 1 2 28 1 1
"84" 1 2 24 0 2
"86" 1 1 6 1 3
"87" 1 2 11 1 2
"88" 1 3 9 0 2
"89" 1 2 2 0 1
"90" 1 1 29 0 3
"92" 1 3 17 1 3
"94" 1 3 17 0 3
"96" 1 2 17 1 3
"98" 1 1 6 0 3
"102" 1 1 20 1 3
"104" 1 2 26 1 3
"105" 1 3 18 0 1
"106" 1 2 21 0 3
"107" 1 2 26 1 2
"108" 1 3 14 0 3
"109" 1 1 14 0 1
"110" 1 2 25 1 3
"111" 1 1 23 1 1
"112" 1 1 19 1 3
"115" 1 2 10 0 2
"116" 1 2 27 0 3
"117" 1 3 19 0 1
"121" 1 3 8 1 2
"124" 1 1 13 0 2
"126" 1 1 3 1 1
"127" 1 3 5 0 1
"131" 1 1 10 0 3
"132" 1 2 3 1 2
"133" 1 2 6 0 2
"134" 1 3 20 0 1
"135" 1 3 20 1 2
"136" 1 1 28 0 1
"137" 1 3 28 1 3
"138" 1 1 28 1 2
"140" 1 2 7 1 1
"141" 1 1 20 1 2
"142" 1 2 26 1 1
"143" 1 3 6 0 3
"144" 1 2 21 0 1
"145" 1 3 29 0 1
"146" 1 2 11 1 3
"148" 1 3 9 1 1
"149" 1 2 18 1 3
"151" 1 3 28 0 1
"152" 1 2 5 1 3
"153" 1 3 26 1 2
"154" 1 3 20 0 2
"157" 1 3 13 1 1
"158" 1 2 21 0 1
"159" 1 3 6 0 1
"160" 1 1 4 1 2
"161" 1 2 17 0 2
"162" 1 3 22 0 3
"164" 1 2 9 1 2
"165" 1 1 26 1 1
"166" 1 3 26 1 2
"167" 1 3 29 1 3
"168" 1 3 15 0 2
"170" 1 2 9 0 2
"171" 1 2 25 1 1
"173" 1 2 12 1 2
"175" 1 1 2 0 2
"177" 1 2 28 1 2
"179" 1 1 20 1 2
"180" 1 1 22 0 1
"183" 1 1 26 1 3
"184" 1 2 10 0 1
"185" 1 2 26 1 1
"187" 1 1 13 0 3
"188" 1 3 10 1 2
"191" 1 3 26 1 1
"192" 1 3 5 1 1
"194" 1 1 27 1 2
"195" 1 1 27 1 3
"196" 1 3 4 0 2
"197" 1 2 8 1 1
"199" 1 2 3 0 3
"201" 1 1 25 1 3
"202" 1 3 10 0 3
"203" 1 1 26 1 3
"204" 1 1 25 1 1
"205" 1 2 28 1 1
"206" 1 1 9 0 1
"208" 1 3 25 1 1
"211" 1 1 15 1 1
"213" 1 1 10 1 3
"214" 1 2 15 0 3
"215" 1 3 10 0 3
"216" 1 2 2 1 2
"218" 1 3 16 0 1
"219" 1 2 15 0 3
"221" 1 3 27 0 1
"222" 1 3 10 0 3
"224" 1 3 4 0 2
"226" 1 3 17 1 2
"227" 1 3 10 0 1
"228" 1 1 15 0 3
"229" 1 3 18 1 1
"231" 1 3 6 0 2
"232" 1 2 28 1 2
"233" 1 3 22 0 3
"234" 1 3 18 0 2
"235" 1 3 5 1 1
"236" 1 1 24 0 1
"237" 1 2 27 1 1
"239" 1 2 4 0 3
"240" 1 1 17 0 3
"242" 1 2 18 1 1
"243" 1 3 11 1 3
"244" 1 1 13 0 3
"245" 1 2 27 1 3
"246" 1 1 18 1 2
"248" 1 3 22 0 2
"250" 1 2 27 0 2
"251" 1 3 28 1 1
"253" 1 3 14 0 2
"254" 1 3 12 1 1
"255" 1 3 24 0 2
"256" 1 2 5 0 1
"257" 1 1 9 1 3
"258" 1 2 4 0 2
"259" 1 2 25 1 3
"261" 1 2 23 0 3
"262" 1 1 17 1 1
"263" 1 2 15 0 3
"264" 1 3 18 1 1
"265" 1 2 26 0 2
"266" 1 2 24 1 2
"267" 1 1 20 1 1
"268" 1 1 3 0 3
"269" 1 1 15 1 2
"270" 1 3 24 0 2
"272" 1 1 24 1 2
"274" 1 3 20 1 3
"275" 1 2 19 1 3
"276" 1 1 13 0 1
"277" 1 2 26 0 2
"278" 1 1 6 1 1
"279" 1 3 8 1 2
"281" 1 1 2 1 1
"282" 1 3 13 0 1
"283" 1 3 16 0 2
"284" 1 3 24 0 1
"285" 1 3 9 1 1
"286" 1 1 6 1 2
"287" 1 3 13 0 3
"289" 1 1 20 0 2
"290" 1 2 22 0 2
"292" 1 3 18 1 3
"293" 1 3 19 1 3
"294" 1 2 9 1 2
"296" 1 2 17 1 1
"297" 1 2 24 0 3
"298" 1 3 25 1 2
"299" 1 3 25 1 2
"300" 1 3 10 0 2
"301" 1 3 26 1 1
"302" 1 2 18 1 1
"303" 1 1 22 0 2
"304" 1 3 20 1 2
"305" 1 3 17 0 2
"306" 1 1 25 1 1
"308" 1 1 26 0 1
"309" 1 2 18 1 1
"310" 1 1 17 0 1
"312" 1 2 10 1 1
"314" 1 3 17 0 1
"315" 1 1 9 0 3
"316" 1 1 18 1 1
"317" 1 1 9 0 3
"318" 1 3 24 0 2
"319" 1 1 12 1 3
"322" 1 2 15 0 1
"323" 1 1 23 0 3
"324" 1 3 12 0 2
"325" 1 1 18 0 1
"327" 1 1 12 0 2
"328" 1 1 17 1 2
"329" 1 3 15 0 1
"332" 1 2 17 0 3
"333" 1 3 17 1 1
"335" 1 2 21 1 2
"336" 1 1 28 1 1
"338" 1 3 26 1 3
"339" 1 2 13 0 2
"340" 1 2 16 1 3
"341" 1 1 6 0 1
"342" 1 2 9 0 1
"343" 1 2 23 0 2
"344" 1 1 3 1 3
"346" 1 3 13 0 1
"347" 1 3 17 1 2
"348" 1 3 17 0 3
"349" 1 3 18 0 2
"350" 1 1 16 0 2
"351" 1 1 13 1 1
"352" 1 1 19 1 2
"353" 1 3 20 1 2
"354" 1 2 17 1 3
"355" 1 1 18 1 2
"356" 1 1 25 1 2
"357" 1 1 13 0 1
"360" 1 3 25 1 2
"361" 1 1 19 1 2
"363" 1 1 18 1 1
"366" 1 3 19 1 2
"367" 1 3 20 1 1
"368" 1 1 5 1 3
"370" 1 1 13 0 2
"371" 1 2 30 1 2
"372" 1 1 21 0 3
"373" 1 3 27 0 2
"374" 1 3 27 0 2
"375" 1 2 20 0 1
"377" 1 2 24 1 3
"378" 1 1 24 0 3
"379" 1 2 13 0 3
"380" 1 1 17 1 2
"381" 1 2 18 1 1
"383" 1 1 18 1 1
"385" 1 1 25 0 3
"386" 1 3 17 1 1
"387" 1 3 18 1 1
"388" 1 1 10 0 3
"389" 1 3 9 0 2
"390" 1 3 14 0 2
"393" 1 2 13 1 3
"394" 1 1 12 0 2
"395" 1 3 18 0 1
"396" 1 2 18 0 1
"397" 1 1 17 0 3
"398" 1 2 12 1 2
"399" 1 1 5 1 3
"400" 1 1 7 0 1
"401" 1 2 4 0 3
"402" 1 2 16 0 3
"407" 1 3 22 0 3
"410" 1 2 17 1 2
"412" 1 3 30 0 2
"414" 1 1 11 1 1
"415" 1 3 2 1 3
"416" 1 3 14 1 3
"418" 1 2 12 0 3
"419" 1 1 18 1 2
"420" 1 3 25 0 3
"421" 1 2 8 0 1
"422" 1 3 26 1 1
"424" 1 1 25 1 3
