"year" "pct" "ser_num" "datestop" "timestop" "city" "sex" "race" "dob" "age"
"35" 2012 44 711 1122012 1505 3 1 1 12311900 17
"140" 2012 32 1753 2082012 1330 1 1 1 12311900 53
"167" 2012 44 3020 2142012 1635 3 1 1 12311900 22
"173" 2012 32 2063 2172012 230 1 1 1 12311900 40
"176" 2012 44 5339 2172012 2105 3 1 1 12311900 57
"177" 2012 67 2744 2182012 1910 2 1 1 12311900 31
"218" 2012 48 1471 2282012 2100 3 1 1 12311900 23
"233" 2012 32 2977 3032012 1900 1 1 1 12311900 27
"236" 2012 75 11736 3032012 2020 2 1 1 12311900 33
"257" 2012 23 2911 3082012 1950 1 1 1 12311900 21
"306" 2012 103 4411 3192012 1530 4 1 3 12311900 27
"372" 2012 61 1 1012012 16 2 1 1 10241985 26
"407" 2012 48 127 1012012 30 3 1 3 12311900 55
"419" 2012 48 138 1012012 31 3 1 2 12311900 18
"437" 2012 103 29 1012012 40 4 0 1 3151996 16
"496" 2012 40 338 1012012 105 3 1 1 12311900 21
"528" 2012 103 16 1012012 115 4 1 1 5181994 17
"549" 2012 71 47 1012012 120 2 1 1 12311900 21
"562" 2012 69 1 1012012 125 2 1 1 8191988 23
"564" 2012 70 3 1012012 125 2 1 1 12311900 16
"610" 2012 81 12 1012012 137 2 1 1 10051990 21
"642" 2012 105 17 1012012 150 4 1 1 11161969 42
"667" 2012 90 3 1012012 156 2 1 4 2161988 23
"677" 2012 23 695 1012012 200 1 1 1 12311900 16
"687" 2012 33 23 1012012 204 1 1 1 12311900 31
"694" 2012 7 2 1012012 205 1 1 1 7131980 31
"769" 2012 78 2 1012012 244 2 1 1 4141993 18
"807" 2012 40 5 1012012 307 3 1 3 11211982 29
"833" 2012 110 5 1012012 315 4 1 3 12311900 30
"837" 2012 83 11 1012012 320 2 0 1 12311900 40
"845" 2012 101 6 1012012 330 4 1 1 3171969 42
"860" 2012 23 263 1012012 335 1 1 1 7081993 18
"881" 2012 41 14 1012012 400 3 0 3 8141996 15
"905" 2012 7 9 1012012 410 1 1 4 6281974 35
"906" 2012 62 54 1012012 410 2 1 4 12311900 24
"928" 2012 104 20 1012012 430 4 1 4 11201990 21
"944" 2012 113 6 1012012 440 4 1 1 5151989 22
"1137" 2012 108 2 1012012 1428 4 1 2 12311900 43
"1207" 2012 33 74 1012012 1640 1 1 2 12311900 16
"1224" 2012 73 117 1012012 1705 2 1 1 2251987 24
"1242" 2012 23 29 1012012 1720 1 1 1 12311900 14
"1366" 2012 102 774 1012012 1910 4 1 3 5131963 58
"1367" 2012 45 6 1012012 1913 3 0 3 11031965 46
"1403" 2012 120 1 1012012 1930 5 1 3 8241990 21
"1475" 2012 23 4 1012012 2022 1 1 5 12311900 29
"1489" 2012 26 37 1012012 2030 1 1 3 9041983 28
"1551" 2012 120 155 1012012 2130 5 1 3 12131989 22
"1601" 2012 103 44 1012012 2227 4 1 1 11301984 27
"1604" 2012 40 79 1012012 2230 3 1 1 12311900 19
"1620" 2012 23 1169 1012012 2245 1 1 3 12311900 23
"1644" 2012 100 3 1012012 2310 4 1 4 11121960 51
"1670" 2012 72 50 1022012 10 2 1 3 11211993 18
"1681" 2012 75 9 1022012 35 2 1 1 12311900 30
"1695" 2012 28 18 1022012 54 1 1 1 4231993 18
"1737" 2012 66 18 1022012 135 2 1 4 1122988 23
"1752" 2012 114 71 1022012 155 4 1 4 3141992 39
"1771" 2012 48 165 1022012 240 3 1 1 12311900 34
"1786" 2012 26 119 1022012 300 1 0 3 8271988 23
"1807" 2012 62 56 1022012 400 2 1 4 1251986 25
"1810" 2012 115 26 1022012 408 4 1 3 11271964 47
"1834" 2012 14 473 1022012 730 1 0 3 12311900 23
"1857" 2012 77 22 1022012 910 2 1 4 3291984 27
