"isolate" "year" "partyid" "age" "attend" "south" "income" "female" "minority"
"3701" -1 1956 4 43 4 0 2 1 1
"3702" -1 1956 2 35 4 0 3 0 0
"3703" 1 1956 1 55 1 1 2 1 0
"3704" 0 1956 3 23 4 0 3 0 0
"3705" -1 1956 1 23 1 0 4 0 0
"3706" -1 1956 2 24 4 0 3 1 0
"3707" -1 1956 1 77 5 1 1 1 0
"3708" -1 1956 1 46 2 0 2 1 1
"3709" -1 1956 4 25 1 0 2 1 0
"3710" 1 1956 2 56 1 0 2 1 0
"3711" -1 1956 2 78 1 0 2 1 0
"3712" -1 1956 2 40 4 0 3 1 0
"3713" 1 1956 1 77 1 1 1 1 0
"3714" 0 1956 1 22 5 0 2 0 0
"3715" -1 1956 1 22 4 0 3 0 0
"3716" -1 1956 2 23 4 0 3 1 0
"3717" -1 1956 2 34 2 0 2 1 1
"3718" 1 1956 3 63 1 0 2 1 0
"3719" -1 1956 1 66 4 0 4 0 0
"3720" 1 1956 4 52 4 0 3 0 0
"3721" 1 1956 4 33 4 0 3 0 0
"3722" -1 1956 2 45 4 0 5 1 0
"3723" 1 1956 1 67 1 0 3 0 0
"3724" -1 1956 1 21 4 1 4 0 0
"3725" 0 1956 2 34 4 0 2 0 1
"3726" -1 1956 4 32 1 0 4 0 0
"3727" 1 1956 1 32 4 0 3 1 1
"3728" 0 1956 1 25 4 1 3 0 0
"3729" 0 1956 2 47 2 0 2 1 0
"3730" 1 1956 2 29 1 1 2 1 0
"3731" 1 1956 2 28 5 1 2 0 0
"3732" 0 1956 1 29 2 1 1 0 1
"3733" 1 1956 1 31 1 1 4 0 0
"3734" -1 1956 1 56 4 0 3 0 0
"3735" 1 1956 1 24 1 1 1 0 1
"3736" -1 1956 3 43 1 0 4 1 1
"3737" 1 1956 1 54 4 0 1 1 0
"3738" -1 1956 2 52 2 1 4 1 0
"3739" -1 1956 2 43 4 0 4 0 0
"3740" 1 1956 1 71 1 1 1 0 0
"3741" -1 1956 1 47 1 0 3 0 0
"3742" -1 1956 3 26 2 0 4 1 0
"3744" -1 1956 1 74 1 1 1 1 0
"3745" 1 1956 1 35 1 1 3 0 0
"3746" 0 1956 3 34 1 1 4 1 0
"3747" 0 1956 2 28 1 1 3 0 0
"3748" 1 1956 1 63 1 1 1 0 0
"3749" 1 1956 2 40 4 1 2 1 0
"3750" -1 1956 2 23 1 1 3 0 0
"3751" 1 1956 1 64 2 0 2 0 0
"3752" 1 1956 1 44 1 0 2 1 0
"3753" 1 1956 1 71 5 1 2 0 0
"3754" -1 1956 4 62 2 0 1 1 0
"3756" -1 1956 1 38 1 0 3 0 0
"3757" -1 1956 2 24 4 1 2 0 0
"3758" -1 1956 4 53 4 1 4 0 0
"3759" -1 1956 2 28 1 1 2 1 0
"3760" 0 1956 1 63 1 0 4 1 0
"3761" 1 1956 4 38 1 0 2 1 0
"3762" -1 1956 2 25 2 0 3 0 0
"3763" 1 1956 2 47 1 0 4 1 0
"3764" 0 1956 2 51 4 0 3 0 0
"3765" -1 1956 4 33 4 0 4 0 0
"3766" 1 1956 1 49 1 0 4 0 0
"3767" 1 1956 2 49 1 1 2 1 0
"3768" 1 1956 4 35 4 0 3 0 0
"3769" 1 1956 2 25 1 0 3 0 0
"3771" -1 1956 1 41 1 1 4 1 0
"3772" -1 1956 3 26 4 0 4 1 0
"3773" -1 1956 2 38 4 0 2 1 0
"3774" -1 1956 3 35 4 1 3 0 0
"3775" 1 1956 4 52 4 1 3 0 0
"3776" -1 1956 3 31 2 0 3 0 0
"3777" -1 1956 1 29 1 0 4 1 0
"3778" 0 1956 2 61 2 0 1 1 0
"3779" -1 1956 2 35 4 0 4 1 0
"3780" -1 1956 1 34 2 1 3 1 0
"3781" -1 1956 2 35 4 0 3 0 0
"3783" -1 1956 4 34 1 1 3 0 0
"3784" -1 1956 1 52 1 0 2 1 0
"3785" -1 1956 2 28 1 0 3 1 0
"3786" -1 1956 1 41 2 1 4 0 0
"3787" 0 1956 1 70 2 0 1 1 0
"3788" -1 1956 2 51 1 0 2 1 0
"3789" 1 1956 2 42 1 1 2 0 1
"3790" -1 1956 2 25 1 1 1 0 0
"3791" -1 1956 1 46 1 0 3 0 0
"3792" -1 1956 2 25 4 0 4 1 0
"3793" 0 1956 2 57 2 1 1 1 1
"3794" 0 1956 2 36 4 1 3 1 0
"3795" -1 1956 1 39 1 0 2 1 0
"3796" -1 1956 2 52 1 1 2 0 0
"3797" -1 1956 2 36 4 1 4 1 0
"3798" 1 1956 2 64 1 0 2 1 0
"3799" -1 1956 1 26 1 1 3 1 1
"3800" -1 1956 2 50 1 1 3 1 0
"3801" -1 1956 1 60 1 0 3 1 0
"3802" -1 1956 4 51 4 0 4 1 0
"3803" -1 1956 2 62 2 0 2 0 0
"3804" -1 1956 3 37 4 1 3 1 0
"3805" -1 1956 2 38 1 0 2 1 0
"3806" 0 1956 2 24 1 1 2 1 0
"3807" 0 1956 4 39 1 0 3 1 0
"3809" -1 1956 1 63 2 1 1 1 0
"3810" -1 1956 2 35 4 1 4 1 0
"3811" -1 1956 1 57 4 0 2 0 0
"3812" 1 1956 2 35 4 0 2 1 0
"3813" -1 1956 1 33 4 1 3 1 0
"3814" 0 1956 2 24 1 1 1 0 1
"3815" -1 1956 2 44 4 0 4 1 0
"3816" 0 1956 4 35 2 0 3 1 0
"3817" -1 1956 3 38 1 0 3 0 0
"3818" -1 1956 2 43 4 0 3 0 0
"3819" 0 1956 1 72 1 1 1 1 0
"3820" -1 1956 2 28 1 1 3 0 0
"3821" 0 1956 1 35 4 0 3 1 1
"3822" 1 1956 4 30 1 0 3 1 0
"3823" -1 1956 2 49 1 1 2 1 0
"3824" 0 1956 1 42 1 0 4 0 0
"3825" 0 1956 2 28 1 0 2 1 1
"3826" -1 1956 2 21 2 1 3 0 0
"3827" -1 1956 1 62 4 1 1 1 1
"3828" -1 1956 1 48 1 1 3 0 0
"3829" 1 1956 1 72 5 0 2 0 0
"3830" 1 1956 2 50 4 0 4 1 0
"3831" -1 1956 1 60 4 1 3 1 0
"3832" -1 1956 2 41 1 1 5 0 0
"3833" -1 1956 4 36 4 0 5 0 0
"3834" -1 1956 1 78 5 0 2 0 0
"3835" 1 1956 1 42 4 1 2 0 0
"3836" 0 1956 2 48 1 1 1 1 1
"3837" -1 1956 1 78 4 1 3 0 0
"3838" 1 1956 4 61 1 1 2 1 0
"3839" -1 1956 1 58 1 1 3 0 0
"3840" -1 1956 2 50 1 0 5 1 0
"3841" -1 1956 3 30 2 0 4 1 1
"3842" 0 1956 1 21 4 1 3 0 0
"3843" -1 1956 3 61 1 1 2 0 1
"3844" -1 1956 1 38 4 0 4 1 0
"3845" -1 1956 2 36 4 1 4 0 0
"3846" 1 1956 4 60 1 1 2 1 1
"3847" 1 1956 1 69 2 0 1 1 0
"3848" -1 1956 4 31 1 1 1 1 1
"3849" -1 1956 2 37 4 1 4 0 0
