"persons" "ward" "question" "mailgrp" "phonegrp" "persngrp" "appeal" "contact" "mailings" "age" "majorpty" "vote96.0" "vote96.1" "mailcall" "voted98" "phnscrpt" "dis.mc" "dis.phn" "phn.c" "phntrt1" "phntrt2" "phn.c1" "phn.c2"
"1" 2 24 0 1 0 0 1 0 3 51 1 0 1 1 1 2 99 99 0 1 1 0 0
"2" 2 8 0 1 1 0 1 0 1 32 0 0 0 1 0 3 99 99 0 0 1 0 0
"3" 2 25 0 1 1 0 1 0 3 49 1 0 1 1 1 3 1 0 1 0 1 0 1
"4" 2 18 0 1 0 0 3 0 3 31 1 1 0 1 0 6 0 99 0 1 1 0 0
"5" 2 6 0 1 0 0 2 0 3 26 1 0 0 1 0 4 0 99 0 1 1 0 0
"6" 2 25 0 1 0 0 2 0 2 48 1 0 1 1 1 4 1 99 1 1 1 1 1
"7" 2 7 0 1 0 0 2 0 2 66 1 0 1 1 1 4 99 99 0 1 1 0 0
"8" 2 15 0 1 0 0 1 0 3 86 1 1 0 1 0 2 1 99 1 1 1 1 1
"9" 2 18 0 1 0 0 2 0 1 74 1 0 1 1 1 4 1 99 1 1 1 1 1
"10" 2 18 0 1 1 0 3 0 2 57 0 0 1 1 0 6 0 1 1 1 1 1 1
"11" 2 7 0 1 0 0 2 0 1 24 0 1 0 1 0 4 99 99 0 1 1 0 0
"12" 2 2 0 1 0 0 2 0 2 29 1 0 1 1 0 4 0 99 0 1 1 0 0
"13" 2 27 0 1 0 0 3 0 1 24 1 0 0 1 0 6 1 99 1 1 1 1 1
"14" 2 3 0 1 0 0 3 0 2 28 1 1 0 1 0 6 99 99 0 1 1 0 0
"15" 2 28 0 1 0 1 3 0 2 47 1 0 0 1 1 6 99 99 0 1 1 0 0
"16" 2 13 0 1 0 0 3 0 2 42 1 0 1 1 1 6 99 99 0 1 1 0 0
"17" 2 4 0 1 1 1 1 0 3 25 0 0 0 1 0 3 0 99 0 0 1 0 0
"18" 2 25 0 1 0 0 3 0 3 68 0 1 0 1 0 6 99 99 0 1 1 0 0
"19" 2 3 0 1 0 1 3 0 1 63 1 0 1 1 0 6 0 99 0 1 1 0 0
"20" 2 2 0 1 0 0 3 0 1 43 1 1 0 1 0 6 99 99 0 1 1 0 0
"21" 2 21 0 1 0 0 3 0 1 73 1 0 1 1 1 6 99 99 0 1 1 0 0
"22" 2 27 0 1 0 0 3 0 1 47 1 0 1 1 0 6 99 99 0 1 1 0 0
"23" 2 19 0 1 0 0 1 0 3 70 1 1 0 1 0 2 1 99 1 1 1 1 1
"24" 2 19 0 1 0 0 2 0 3 37 1 1 0 1 0 4 1 99 1 1 1 1 1
"25" 2 17 0 1 0 1 2 1 2 59 1 0 1 1 1 4 1 99 1 1 1 1 1
"26" 2 28 0 1 0 1 3 0 3 73 1 0 0 1 1 6 1 99 1 1 1 1 1
"27" 2 18 0 1 0 0 1 0 1 69 1 0 1 1 1 2 1 99 1 1 1 1 1
"28" 2 26 0 1 0 0 1 0 1 50 1 0 1 1 1 2 99 99 0 1 1 0 0
"29" 2 25 0 1 0 0 2 0 1 28 1 0 0 1 0 4 99 99 0 1 1 0 0
